author_num,filename,date
716,CDDB_get-1.4.tar.gz,975646685
1,CPAN-1.59.tar.gz,975650758
1,CPAN-1.59_51.tar.gz,975658798
873,MVS-JESFTP-0.03.tar.gz,975684872
162,PDL-NetCDF-0.76.tar.gz,975689756
380,DBIx-XML_RDB-0.04.tar.gz,975695813
49,Boulder-1.20.tar.gz,975707009
693,Text-FIGlet-1.05.tgz,975707298
568,Math-FixedPrecision-0.11.tar.gz,975709387
508,IO-SendFile-0.01.tar.gz,975720163
874,CipherSaber-0.50.tar.gz,975725897
463,Win32-OLE-0.1403.tar.gz,975727468
854,DDL-Oracle-0.22.tar.gz,975775564
866,Date-Christmas-1.01.tar.gz,975798754
480,Lingua-LinkParser1.04.tar.gz,975805409
399,VCP-0.01.tar.gz,975818712
399,Slay-Maker-0.01.tar.gz,975824228
816,Workspace-1.58.tar.gz,975848526
394,GraphViz-0.08.tar.gz,975857033
866,Date-Christmas-1.02.tar.gz,975860926
275,Apache-SSI-2.16.tar.gz,975883863
181,Emotion-0.16.tar.gz,975887124
735,Apache-PageKit-0.89.tar.gz,975890025
875,WML-Card-0.02.tar.gz,975890942
870,XML-WMM-ASX-0.30.tar.gz,975900365
22,HTML-Parser-3.14.tar.gz,975909939
165,HTML-Embperl-1.3.0.tar.gz,975916720
204,Net-Daemon-0.33.tar.gz,975917276
745,HTML-Table-1.04a.tar.gz,975918283
722,MarekPodHtml-0.42.tar.gz,975937242
829,Db-DFC-0.2.tar.gz,975938520
812,Text-Annotated-Line-0.01.tar.gz,975939978
812,Text-Filter-Chain-0.01.tar.gz,975939993
181,NetServer-Portal-1.08.tar.gz,975940910
816,RemoteFileSelect-0.54.tar.gz,975948053
802,Tk-TableMatrix0.5.tar.gz,975950503
424,OpenCA-X509-0.9.3a.tar.gz,975951979
424,OpenCA-Tools-0.4.2a.tar.gz,975952085
424,OpenCA-TRIStateCGI-1.3.0a.tar.gz,975952101
424,OpenCA-SV-0.7.02.tar.gz,975952117
424,OpenCA-REQ-0.7.10a.tar.gz,975952223
424,OpenCA-PKCS7-0.3.0a.tar.gz,975952239
424,OpenCA-OpenSSL-0.6.3a.tar.gz,975952255
424,OpenCA-DB-0.8.6a.tar.gz,975952271
424,OpenCA-CRL-0.6.5a.tar.gz,975952377
424,OpenCA-Configuration-1.5.2a.tar.gz,975952393
679,Apache-Dispatch-0.08.tar.gz,975960073
618,Text-FixedLength-Extra-1.0.tar.gz,975961441
195,Text-Autoformat-1.04.tar.gz,975972833
477,Crypt-DES-2.03.tar.gz,975993530
399,VCP-0.02.tar.gz,975998145
812,Text-Annotated-Line-0.02.tar.gz,976031797
812,Text-Filter-Chain-0.02.tar.gz,976031812
511,RTF-Group-1.00_01.tar.gz,976054820
854,DDL-Oracle-0.23.tar.gz,976067554
520,perlpalmdoc-doc-5.7.0@8003.tar.gz,976070365
520,perlpalmdoc-teal-5.7.0@8003.tar.gz,976070470
876,XML-Schematron-0.52.tar.gz,976073470
380,Pod-XML-0.92.tar.gz,976107305
380,XML-XPath-1.03.tar.gz,976107861
253,Template-Toolkit-2.00.tar.gz,976110582
475,Schedule-Load-1.4.tar.gz,976111679
876,XML-Schematron-0.53.tar.gz,976111791
164,Inside-0.08.tar.gz,976131646
827,OLE-Storage_Lite-0.04.tar.gz,976140047
870,Finance-Options-Calc-0.90.tar.gz,976148178
254,Convert-Scalar-0.05.tar.gz,976157879
511,Tie-RangeHash-0.20.tar.gz,976160599
877,Embedix-ECD-0.07.tar.gz,976169632
878,perl-GPS-0.12.tar.gz,976200396
